barriada,campana,bebes,ninos,adultos,seniors,desempleo,usuarios,ac01,ad01
BA01,2022V,251,342,986,156,7.8,1704,5,258
BA02,2022V,198,166,658,90,14.5,1155,4,215
BA03,2022V,222,331,900,148,9.6,1577,6,231
BA04,2022V,171,260,684,119,7.9,1231,3,181
BA05,2022V,202,309,812,136,8.3,1446,5,214
BA06,2022V,230,340,939,156,9.2,1646,5,245
BA07,2022V,134,209,541,90,10.5,999,5,151
BA08,2022V,246,358,992,165,12,1748,8,268
BA09,2022V,281,416,1131,186,8.9,1967,5,294
BA10,2022V,156,243,631,111,8,1130,4,168
BA11,2022V,274,408,1094,180,7.9,1923,5,286
BA12,2022V,250,366,1005,164,11,1774,4,261
BA13,2022V,105,173,452,76,11.2,837,4,124
BA01,2022O,249,343,981,155,13.8,1721,7,312
BA02,2022O,190,171,657,90,10.6,1121,5,245
BA03,2022O,220,333,904,145,11,1585,4,280
BA04,2022O,173,262,681,117,8.8,1237,3,219
BA05,2022O,201,303,808,135,10.1,1431,5,253
BA06,2022O,235,342,941,156,12.4,1676,6,300
BA07,2022O,130,212,538,90,8.4,968,3,171
BA08,2022O,249,359,990,165,11.9,1747,6,316
BA09,2022O,272,411,1125,185,15.3,1996,7,346
BA10,2022O,159,241,633,113,10.3,1159,5,207
BA11,2022O,271,406,1091,180,13.9,1945,7,346
BA12,2022O,257,368,1007,165,13.1,1782,5,329
BA13,2022O,107,172,452,75,7.5,817,5,136
BA14,2022O,230,162,980,127,12.8,1518,5,299
BA15,2022O,252,255,897,79,13,1509,4,327
BA01,2022I,249,342,984,154,11.8,1721,4,393
BA02,2022I,190,171,658,92,10.6,1138,4,295
BA03,2022I,218,332,902,144,11,1579,5,339
BA04,2022I,175,264,682,118,8.8,1242,3,276
BA05,2022I,202,302,811,135,10.1,1451,4,316
BA06,2022I,235,343,944,157,11.4,1660,3,367
BA07,2022I,130,212,537,90,8.4,966,5,206
BA08,2022I,248,362,992,166,11.9,1751,4,392
BA09,2022I,275,412,1127,186,15.3,2001,6,439
BA10,2022I,161,242,634,113,8.3,1142,3,250
BA11,2022I,274,408,1092,181,13.9,1942,7,426
BA12,2022I,255,371,1005,166,12.1,1782,5,403
BA13,2022I,105,173,450,75,8.5,828,5,167
BA14,2022I,228,162,978,128,11.8,1494,6,355
BA15,2022I,253,253,899,80,13,1525,6,392
BA16,2022I,196,201,986,152,12.9,1543,4,308
BA01,2023P,250,345,982,154,12.8,1735,6,267
BA02,2023P,190,171,659,90,8.6,1122,4,198
BA03,2023P,218,334,903,146,11,1594,4,230
BA04,2023P,174,260,683,118,8.8,1221,4,186
BA05,2023P,204,306,808,135,12.1,1460,5,215
BA06,2023P,238,345,944,155,12.4,1673,3,255
BA07,2023P,131,215,540,91,8.4,991,3,140
BA08,2023P,252,361,988,165,13.9,1760,5,267
BA09,2023P,274,411,1124,186,14.2,1980,4,299
BA10,2023P,161,242,634,113,8.3,1142,3,170
BA11,2023P,270,406,1090,180,12.9,1937,6,294
BA12,2023P,255,368,1009,166,14.1,1802,3,272
BA13,2023P,108,172,452,75,8.5,827,4,122
BA14,2023P,230,161,980,128,13.8,1505,4,249
BA15,2023P,250,255,900,78,11,1509,3,261
BA16,2023P,196,201,984,154,11.8,1536,4,215
BA01,2023V,254,343,982,154,13.8,1734,5,267
BA02,2023V,190,173,657,91,10.6,1120,5,207
BA03,2023V,216,333,906,148,13.1,1600,4,229
BA04,2023V,178,262,687,119,10.9,1248,4,191
BA05,2023V,203,305,807,134,11.1,1442,7,220
BA06,2023V,240,343,943,154,11.4,1664,5,252
BA07,2023V,132,218,543,91,7.4,985,6,139
BA08,2023V,256,363,991,164,12.9,1763,5,268
BA09,2023V,272,413,1126,188,13.3,1981,5,285
BA10,2023V,159,242,638,112,10.4,1160,3,168
BA11,2023V,272,410,1088,182,13.9,1944,7,297
BA12,2023V,257,369,1012,167,14.1,1793,8,283
BA13,2023V,106,173,453,75,6.5,805,4,118
BA14,2023V,231,161,979,128,12.8,1513,7,248
BA15,2023V,254,255,900,77,12,1524,7,268
BA16,2023V,200,204,987,154,11.9,1527,7,214
BA01,2023O,249,343,984,157,13.8,1736,7,322
BA02,2023O,199,177,663,94,10.6,1151,3,250
BA03,2023O,217,333,904,150,12,1602,4,273
